ID,Transaction,,,,,,,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7
220,"baguette, hering, avocado, artichok, heineken, bourbon, corned_b",,,,,,,baguette,hering,avocado,artichok,heineken,bourbon,corned_b
221,"avocado, cracker, artichok, heineken, ham, turkey, hering",,,,,,,avocado,cracker,artichok,heineken,ham,turkey,hering
222,"olives, bourbon, coke, turkey, ice_crea, bordeaux, soda",,,,,,,olives,bourbon,coke,turkey,ice_crea,bordeaux,soda
223,"hering, corned_b, apples, olives, steak, avocado, turkey",,,,,,,hering,corned_b,apples,olives,steak,avocado,turkey
224,"hering, corned_b, olives, ham, turkey, bourbon, heineken",,,,,,,hering,corned_b,olives,ham,turkey,bourbon,heineken
225,"soda, olives, bourbon, cracker, heineken, chicken, baguette",,,,,,,soda,olives,bourbon,cracker,heineken,chicken,baguette
226,"avocado, cracker, artichok, heineken, ham, soda, peppers",,,,,,,avocado,cracker,artichok,heineken,ham,soda,peppers
227,"sardines, heineken, chicken, coke, ice_crea, corned_b, olives",,,,,,,sardines,heineken,chicken,coke,ice_crea,corned_b,olives
228,"olives, bourbon, coke, turkey, ice_crea, heineken, baguette",,,,,,,olives,bourbon,coke,turkey,ice_crea,heineken,baguette
229,"baguette, soda, hering, cracker, heineken, avocado, peppers",,,,,,,baguette,soda,hering,cracker,heineken,avocado,peppers
230,"sardines, heineken, chicken, coke, ice_crea, peppers, bourbon",,,,,,,sardines,heineken,chicken,coke,ice_crea,peppers,bourbon
231,"hering, corned_b, apples, olives, steak, ham, ham",,,,,,,hering,corned_b,apples,olives,steak,ham,ham
232,"olives, bourbon, coke, turkey, ice_crea, peppers, soda",,,,,,,olives,bourbon,coke,turkey,ice_crea,peppers,soda
233,"baguette, soda, hering, cracker, heineken, ham, bourbon",,,,,,,baguette,soda,hering,cracker,heineken,ham,bourbon
234,"soda, olives, bourbon, cracker, heineken, chicken, ice_crea",,,,,,,soda,olives,bourbon,cracker,heineken,chicken,ice_crea
235,"soda, olives, bourbon, cracker, heineken, baguette, peppers",,,,,,,soda,olives,bourbon,cracker,heineken,baguette,peppers
236,"hering, corned_b, apples, olives, steak, chicken, avocado",,,,,,,hering,corned_b,apples,olives,steak,chicken,avocado
237,"sardines, heineken, chicken, coke, ice_crea, turkey, hering",,,,,,,sardines,heineken,chicken,coke,ice_crea,turkey,hering
238,"avocado, cracker, artichok, heineken, ham, olives, steak",,,,,,,avocado,cracker,artichok,heineken,ham,olives,steak
239,"avocado, cracker, artichok, heineken, ham, bordeaux, steak",,,,,,,avocado,cracker,artichok,heineken,ham,bordeaux,steak
240,"olives, bourbon, coke, turkey, ice_crea, sardines, heineken",,,,,,,olives,bourbon,coke,turkey,ice_crea,sardines,heineken
241,"sardines, heineken, chicken, coke, ice_crea, cracker, baguette",,,,,,,sardines,heineken,chicken,coke,ice_crea,cracker,baguette
242,"baguette, soda, hering, cracker, heineken, bourbon, corned_b",,,,,,,baguette,soda,hering,cracker,heineken,bourbon,corned_b
243,"sardines, heineken, chicken, coke, ice_crea, baguette, steak",,,,,,,sardines,heineken,chicken,coke,ice_crea,baguette,steak
244,"avocado, cracker, artichok, heineken, ham, peppers, ice_crea",,,,,,,avocado,cracker,artichok,heineken,ham,peppers,ice_crea
245,"baguette, hering, avocado, artichok, heineken, coke, turkey",,,,,,,baguette,hering,avocado,artichok,heineken,coke,turkey
246,"soda, olives, bourbon, cracker, heineken, corned_b, hering",,,,,,,soda,olives,bourbon,cracker,heineken,corned_b,hering
247,"corned_b, peppers, bourbon, cracker, chicken, coke, soda",,,,,,,corned_b,peppers,bourbon,cracker,chicken,coke,soda
248,"sardines, heineken, chicken, coke, ice_crea, artichok, artichok",,,,,,,sardines,heineken,chicken,coke,ice_crea,artichok,artichok
249,"baguette, hering, avocado, artichok, heineken, apples, peppers",,,,,,,baguette,hering,avocado,artichok,heineken,apples,peppers
250,"baguette, sardines, apples, peppers, avocado, olives, artichok",,,,,,,baguette,sardines,apples,peppers,avocado,olives,artichok
251,"hering, corned_b, olives, ham, turkey, peppers, baguette",,,,,,,hering,corned_b,olives,ham,turkey,peppers,baguette
252,"avocado, cracker, artichok, heineken, ham, peppers, corned_b",,,,,,,avocado,cracker,artichok,heineken,ham,peppers,corned_b
253,"baguette, sardines, apples, peppers, avocado, heineken, coke",,,,,,,baguette,sardines,apples,peppers,avocado,heineken,coke
254,"baguette, sardines, apples, peppers, avocado, ham, hering",,,,,,,baguette,sardines,apples,peppers,avocado,ham,hering
255,"sardines, heineken, chicken, coke, ice_crea, peppers, peppers",,,,,,,sardines,heineken,chicken,coke,ice_crea,peppers,peppers
256,"sardines, heineken, chicken, coke, ice_crea, soda, artichok",,,,,,,sardines,heineken,chicken,coke,ice_crea,soda,artichok
257,"hering, corned_b, olives, ham, turkey, avocado, baguette",,,,,,,hering,corned_b,olives,ham,turkey,avocado,baguette
258,"sardines, heineken, chicken, coke, ice_crea, hering, bourbon",,,,,,,sardines,heineken,chicken,coke,ice_crea,hering,bourbon
259,"baguette, hering, avocado, artichok, heineken, ice_crea, sardines",,,,,,,baguette,hering,avocado,artichok,heineken,ice_crea,sardines
260,"baguette, hering, avocado, artichok, heineken, olives, apples",,,,,,,baguette,hering,avocado,artichok,heineken,olives,apples
261,"hering, corned_b, olives, ham, turkey, bordeaux, steak",,,,,,,hering,corned_b,olives,ham,turkey,bordeaux,steak
262,"hering, corned_b, olives, ham, turkey, peppers, apples",,,,,,,hering,corned_b,olives,ham,turkey,peppers,apples
263,"baguette, soda, hering, cracker, heineken, ham, sardines",,,,,,,baguette,soda,hering,cracker,heineken,ham,sardines
264,"corned_b, peppers, bourbon, cracker, chicken, artichok, artichok",,,,,,,corned_b,peppers,bourbon,cracker,chicken,artichok,artichok
265,"olives, bourbon, coke, turkey, ice_crea, sardines, peppers",,,,,,,olives,bourbon,coke,turkey,ice_crea,sardines,peppers
266,"soda, olives, bourbon, cracker, heineken, baguette, peppers",,,,,,,soda,olives,bourbon,cracker,heineken,baguette,peppers
267,"baguette, sardines, apples, peppers, avocado, coke, ice_crea",,,,,,,baguette,sardines,apples,peppers,avocado,coke,ice_crea
268,"corned_b, peppers, bourbon, cracker, chicken, artichok, hering",,,,,,,corned_b,peppers,bourbon,cracker,chicken,artichok,hering
269,"sardines, heineken, chicken, coke, ice_crea, peppers, olives",,,,,,,sardines,heineken,chicken,coke,ice_crea,peppers,olives
270,"corned_b, peppers, bourbon, cracker, chicken, bordeaux, ice_crea",,,,,,,corned_b,peppers,bourbon,cracker,chicken,bordeaux,ice_crea
271,"soda, olives, bourbon, cracker, heineken, corned_b, artichok",,,,,,,soda,olives,bourbon,cracker,heineken,corned_b,artichok
272,"baguette, sardines, apples, peppers, avocado, cracker, cracker",,,,,,,baguette,sardines,apples,peppers,avocado,cracker,cracker
273,"soda, olives, bourbon, cracker, heineken, apples, artichok",,,,,,,soda,olives,bourbon,cracker,heineken,apples,artichok
274,"soda, olives, bourbon, cracker, heineken, chicken, hering",,,,,,,soda,olives,bourbon,cracker,heineken,chicken,hering
275,"corned_b, peppers, bourbon, cracker, chicken, baguette, artichok",,,,,,,corned_b,peppers,bourbon,cracker,chicken,baguette,artichok
276,"corned_b, peppers, bourbon, cracker, chicken, hering, apples",,,,,,,corned_b,peppers,bourbon,cracker,chicken,hering,apples
277,"baguette, hering, avocado, artichok, heineken, bordeaux, peppers",,,,,,,baguette,hering,avocado,artichok,heineken,bordeaux,peppers
278,"avocado, cracker, artichok, heineken, ham, baguette, corned_b",,,,,,,avocado,cracker,artichok,heineken,ham,baguette,corned_b
279,"baguette, hering, avocado, artichok, heineken, steak, turkey",,,,,,,baguette,hering,avocado,artichok,heineken,steak,turkey
280,"baguette, hering, avocado, artichok, heineken, steak, turkey",,,,,,,baguette,hering,avocado,artichok,heineken,steak,turkey
281,"corned_b, peppers, bourbon, cracker, chicken, bordeaux, ice_crea",,,,,,,corned_b,peppers,bourbon,cracker,chicken,bordeaux,ice_crea
282,"baguette, sardines, apples, peppers, avocado, chicken, hering",,,,,,,baguette,sardines,apples,peppers,avocado,chicken,hering
283,"sardines, heineken, chicken, coke, ice_crea, bourbon, corned_b",,,,,,,sardines,heineken,chicken,coke,ice_crea,bourbon,corned_b
284,"soda, olives, bourbon, cracker, heineken, corned_b, chicken",,,,,,,soda,olives,bourbon,cracker,heineken,corned_b,chicken
285,"sardines, heineken, chicken, coke, ice_crea, avocado, olives",,,,,,,sardines,heineken,chicken,coke,ice_crea,avocado,olives
286,"avocado, cracker, artichok, heineken, ham, bordeaux, soda",,,,,,,avocado,cracker,artichok,heineken,ham,bordeaux,soda
287,"hering, corned_b, olives, ham, turkey, peppers, ice_crea",,,,,,,hering,corned_b,olives,ham,turkey,peppers,ice_crea
288,"olives, bourbon, coke, turkey, ice_crea, ham, corned_b",,,,,,,olives,bourbon,coke,turkey,ice_crea,ham,corned_b
289,"baguette, hering, avocado, artichok, heineken, apples, soda",,,,,,,baguette,hering,avocado,artichok,heineken,apples,soda
290,"hering, corned_b, olives, ham, turkey, coke, bourbon",,,,,,,hering,corned_b,olives,ham,turkey,coke,bourbon
291,"corned_b, peppers, bourbon, cracker, chicken, apples, heineken",,,,,,,corned_b,peppers,bourbon,cracker,chicken,apples,heineken
292,"baguette, soda, hering, cracker, heineken, turkey, bourbon",,,,,,,baguette,soda,hering,cracker,heineken,turkey,bourbon
293,"hering, corned_b, olives, ham, turkey, soda, avocado",,,,,,,hering,corned_b,olives,ham,turkey,soda,avocado
294,"corned_b, peppers, bourbon, cracker, chicken, soda, ice_crea",,,,,,,corned_b,peppers,bourbon,cracker,chicken,soda,ice_crea
295,"olives, bourbon, coke, turkey, ice_crea, hering, heineken",,,,,,,olives,bourbon,coke,turkey,ice_crea,hering,heineken
296,"soda, olives, bourbon, cracker, heineken, hering, peppers",,,,,,,soda,olives,bourbon,cracker,heineken,hering,peppers
297,"soda, olives, bourbon, cracker, heineken, ice_crea, turkey",,,,,,,soda,olives,bourbon,cracker,heineken,ice_crea,turkey
298,"sardines, heineken, chicken, coke, ice_crea, cracker, steak",,,,,,,sardines,heineken,chicken,coke,ice_crea,cracker,steak
299,"corned_b, peppers, bourbon, cracker, chicken, apples, heineken",,,,,,,corned_b,peppers,bourbon,cracker,chicken,apples,heineken
300,"baguette, soda, hering, cracker, heineken, coke, ice_crea",,,,,,,baguette,soda,hering,cracker,heineken,coke,ice_crea
301,"baguette, sardines, apples, peppers, avocado, steak, heineken",,,,,,,baguette,sardines,apples,peppers,avocado,steak,heineken
302,"avocado, cracker, artichok, heineken, ham, hering, olives",,,,,,,avocado,cracker,artichok,heineken,ham,hering,olives
303,"sardines, heineken, chicken, coke, ice_crea, soda, baguette",,,,,,,sardines,heineken,chicken,coke,ice_crea,soda,baguette
304,"baguette, sardines, apples, peppers, avocado, bordeaux, heineken",,,,,,,baguette,sardines,apples,peppers,avocado,bordeaux,heineken
305,"soda, olives, bourbon, cracker, heineken, peppers, artichok",,,,,,,soda,olives,bourbon,cracker,heineken,peppers,artichok
306,"hering, corned_b, apples, olives, steak, ham, baguette",,,,,,,hering,corned_b,apples,olives,steak,ham,baguette
307,"sardines, heineken, chicken, coke, ice_crea, cracker, peppers",,,,,,,sardines,heineken,chicken,coke,ice_crea,cracker,peppers
308,"sardines, heineken, chicken, coke, ice_crea, bordeaux, baguette",,,,,,,sardines,heineken,chicken,coke,ice_crea,bordeaux,baguette
309,"soda, olives, bourbon, cracker, heineken, coke, ice_crea",,,,,,,soda,olives,bourbon,cracker,heineken,coke,ice_crea
310,"sardines, heineken, chicken, coke, ice_crea, peppers, bourbon",,,,,,,sardines,heineken,chicken,coke,ice_crea,peppers,bourbon
311,"baguette, hering, avocado, artichok, heineken, apples, apples",,,,,,,baguette,hering,avocado,artichok,heineken,apples,apples
312,"sardines, heineken, chicken, coke, ice_crea, olives, corned_b",,,,,,,sardines,heineken,chicken,coke,ice_crea,olives,corned_b
313,"soda, olives, bourbon, cracker, heineken, bordeaux, artichok",,,,,,,soda,olives,bourbon,cracker,heineken,bordeaux,artichok
314,"sardines, heineken, chicken, coke, ice_crea, soda, bourbon",,,,,,,sardines,heineken,chicken,coke,ice_crea,soda,bourbon
315,"hering, corned_b, apples, olives, steak, coke, heineken",,,,,,,hering,corned_b,apples,olives,steak,coke,heineken
316,"sardines, heineken, chicken, coke, ice_crea, cracker, ham",,,,,,,sardines,heineken,chicken,coke,ice_crea,cracker,ham
317,"sardines, heineken, chicken, coke, ice_crea, artichok, steak",,,,,,,sardines,heineken,chicken,coke,ice_crea,artichok,steak
318,"hering, corned_b, apples, olives, steak, peppers, peppers",,,,,,,hering,corned_b,apples,olives,steak,peppers,peppers
319,"baguette, sardines, apples, peppers, avocado, turkey, turkey",,,,,,,baguette,sardines,apples,peppers,avocado,turkey,turkey
320,"baguette, hering, avocado, artichok, heineken, bourbon, corned_b",,,,,,,baguette,hering,avocado,artichok,heineken,bourbon,corned_b
321,"baguette, hering, avocado, artichok, heineken, bordeaux, soda",,,,,,,baguette,hering,avocado,artichok,heineken,bordeaux,soda
322,"baguette, hering, avocado, artichok, heineken, cracker, sardines",,,,,,,baguette,hering,avocado,artichok,heineken,cracker,sardines
323,"baguette, soda, hering, cracker, heineken, bourbon, olives",,,,,,,baguette,soda,hering,cracker,heineken,bourbon,olives
324,"baguette, soda, hering, cracker, heineken, ham, apples",,,,,,,baguette,soda,hering,cracker,heineken,ham,apples
325,"corned_b, peppers, bourbon, cracker, chicken, heineken, sardines",,,,,,,corned_b,peppers,bourbon,cracker,chicken,heineken,sardines
326,"baguette, soda, hering, cracker, heineken, artichok, chicken",,,,,,,baguette,soda,hering,cracker,heineken,artichok,chicken
327,"corned_b, peppers, bourbon, cracker, chicken, steak, apples",,,,,,,corned_b,peppers,bourbon,cracker,chicken,steak,apples
328,"baguette, soda, hering, cracker, heineken, avocado, turkey",,,,,,,baguette,soda,hering,cracker,heineken,avocado,turkey
329,"olives, bourbon, coke, turkey, ice_crea, peppers, artichok",,,,,,,olives,bourbon,coke,turkey,ice_crea,peppers,artichok
330,"soda, olives, bourbon, cracker, heineken, steak, artichok",,,,,,,soda,olives,bourbon,cracker,heineken,steak,artichok
331,"baguette, sardines, apples, peppers, avocado, bourbon, bourbon",,,,,,,baguette,sardines,apples,peppers,avocado,bourbon,bourbon
332,"hering, corned_b, olives, ham, turkey, ice_crea, artichok",,,,,,,hering,corned_b,olives,ham,turkey,ice_crea,artichok
333,"baguette, soda, hering, cracker, heineken, apples, ham",,,,,,,baguette,soda,hering,cracker,heineken,apples,ham
334,"soda, olives, bourbon, cracker, heineken, apples, steak",,,,,,,soda,olives,bourbon,cracker,heineken,apples,steak
335,"hering, corned_b, olives, ham, turkey, peppers, cracker",,,,,,,hering,corned_b,olives,ham,turkey,peppers,cracker
336,"avocado, cracker, artichok, heineken, ham, hering, turkey",,,,,,,avocado,cracker,artichok,heineken,ham,hering,turkey
337,"corned_b, peppers, bourbon, cracker, chicken, heineken, avocado",,,,,,,corned_b,peppers,bourbon,cracker,chicken,heineken,avocado
338,"avocado, cracker, artichok, heineken, ham, steak, steak",,,,,,,avocado,cracker,artichok,heineken,ham,steak,steak
339,"baguette, hering, avocado, artichok, heineken, corned_b, steak",,,,,,,baguette,hering,avocado,artichok,heineken,corned_b,steak
340,"hering, corned_b, apples, olives, steak, sardines, soda",,,,,,,hering,corned_b,apples,olives,steak,sardines,soda
341,"soda, olives, bourbon, cracker, heineken, turkey, hering",,,,,,,soda,olives,bourbon,cracker,heineken,turkey,hering
342,"baguette, sardines, apples, peppers, avocado, soda, olives",,,,,,,baguette,sardines,apples,peppers,avocado,soda,olives
343,"corned_b, peppers, bourbon, cracker, chicken, hering, steak",,,,,,,corned_b,peppers,bourbon,cracker,chicken,hering,steak
344,"sardines, heineken, chicken, coke, ice_crea, bordeaux, olives",,,,,,,sardines,heineken,chicken,coke,ice_crea,bordeaux,olives
345,"baguette, hering, avocado, artichok, heineken, olives, olives",,,,,,,baguette,hering,avocado,artichok,heineken,olives,olives
346,"corned_b, peppers, bourbon, cracker, chicken, baguette, ham",,,,,,,corned_b,peppers,bourbon,cracker,chicken,baguette,ham
347,"hering, corned_b, apples, olives, steak, bourbon, heineken",,,,,,,hering,corned_b,apples,olives,steak,bourbon,heineken
348,"sardines, heineken, chicken, coke, ice_crea, bordeaux, olives",,,,,,,sardines,heineken,chicken,coke,ice_crea,bordeaux,olives
349,"hering, corned_b, olives, ham, turkey, bourbon, soda",,,,,,,hering,corned_b,olives,ham,turkey,bourbon,soda
350,"baguette, hering, avocado, artichok, heineken, apples, corned_b",,,,,,,baguette,hering,avocado,artichok,heineken,apples,corned_b
351,"baguette, sardines, apples, peppers, avocado, olives, turkey",,,,,,,baguette,sardines,apples,peppers,avocado,olives,turkey
352,"sardines, heineken, chicken, coke, ice_crea, apples, turkey",,,,,,,sardines,heineken,chicken,coke,ice_crea,apples,turkey
353,"avocado, cracker, artichok, heineken, ham, peppers, steak",,,,,,,avocado,cracker,artichok,heineken,ham,peppers,steak
354,"baguette, hering, avocado, artichok, heineken, bourbon, bourbon",,,,,,,baguette,hering,avocado,artichok,heineken,bourbon,bourbon
355,"baguette, soda, hering, cracker, heineken, turkey, turkey",,,,,,,baguette,soda,hering,cracker,heineken,turkey,turkey
356,"olives, bourbon, coke, turkey, ice_crea, hering, sardines",,,,,,,olives,bourbon,coke,turkey,ice_crea,hering,sardines
357,"hering, corned_b, olives, ham, turkey, soda, bourbon",,,,,,,hering,corned_b,olives,ham,turkey,soda,bourbon
358,"hering, corned_b, olives, ham, turkey, steak, heineken",,,,,,,hering,corned_b,olives,ham,turkey,steak,heineken
359,"baguette, hering, avocado, artichok, heineken, bourbon, chicken",,,,,,,baguette,hering,avocado,artichok,heineken,bourbon,chicken
360,"sardines, heineken, chicken, coke, ice_crea, bordeaux, bourbon",,,,,,,sardines,heineken,chicken,coke,ice_crea,bordeaux,bourbon
361,"olives, bourbon, coke, turkey, ice_crea, steak, heineken",,,,,,,olives,bourbon,coke,turkey,ice_crea,steak,heineken
362,"olives, bourbon, coke, turkey, ice_crea, peppers, steak",,,,,,,olives,bourbon,coke,turkey,ice_crea,peppers,steak
363,"olives, bourbon, coke, turkey, ice_crea, apples, peppers",,,,,,,olives,bourbon,coke,turkey,ice_crea,apples,peppers
364,"corned_b, peppers, bourbon, cracker, chicken, coke, apples",,,,,,,corned_b,peppers,bourbon,cracker,chicken,coke,apples
365,"sardines, heineken, chicken, coke, ice_crea, ham, peppers",,,,,,,sardines,heineken,chicken,coke,ice_crea,ham,peppers
366,"sardines, heineken, chicken, coke, ice_crea, corned_b, turkey",,,,,,,sardines,heineken,chicken,coke,ice_crea,corned_b,turkey
367,"soda, olives, bourbon, cracker, heineken, coke, chicken",,,,,,,soda,olives,bourbon,cracker,heineken,coke,chicken
368,"hering, corned_b, apples, olives, steak, chicken, artichok",,,,,,,hering,corned_b,apples,olives,steak,chicken,artichok
369,"soda, olives, bourbon, cracker, heineken, turkey, hering",,,,,,,soda,olives,bourbon,cracker,heineken,turkey,hering
370,"sardines, heineken, chicken, coke, ice_crea, apples, cracker",,,,,,,sardines,heineken,chicken,coke,ice_crea,apples,cracker
371,"hering, corned_b, olives, ham, turkey, cracker, chicken",,,,,,,hering,corned_b,olives,ham,turkey,cracker,chicken
372,"avocado, cracker, artichok, heineken, ham, soda, peppers",,,,,,,avocado,cracker,artichok,heineken,ham,soda,peppers
373,"hering, corned_b, apples, olives, steak, ice_crea, coke",,,,,,,hering,corned_b,apples,olives,steak,ice_crea,coke
374,"avocado, cracker, artichok, heineken, ham, bordeaux, hering",,,,,,,avocado,cracker,artichok,heineken,ham,bordeaux,hering
375,"hering, corned_b, olives, ham, turkey, heineken, bourbon",,,,,,,hering,corned_b,olives,ham,turkey,heineken,bourbon
376,"avocado, cracker, artichok, heineken, ham, chicken, chicken",,,,,,,avocado,cracker,artichok,heineken,ham,chicken,chicken
377,"sardines, heineken, chicken, coke, ice_crea, peppers, ham",,,,,,,sardines,heineken,chicken,coke,ice_crea,peppers,ham
378,"baguette, hering, avocado, artichok, heineken, sardines, corned_b",,,,,,,baguette,hering,avocado,artichok,heineken,sardines,corned_b
379,"baguette, hering, avocado, artichok, heineken, peppers, steak",,,,,,,baguette,hering,avocado,artichok,heineken,peppers,steak
380,"hering, corned_b, apples, olives, steak, cracker, artichok",,,,,,,hering,corned_b,apples,olives,steak,cracker,artichok
381,"hering, corned_b, apples, olives, steak, avocado, ham",,,,,,,hering,corned_b,apples,olives,steak,avocado,ham
382,"sardines, heineken, chicken, coke, ice_crea, ham, corned_b",,,,,,,sardines,heineken,chicken,coke,ice_crea,ham,corned_b
383,"corned_b, peppers, bourbon, cracker, chicken, baguette, hering",,,,,,,corned_b,peppers,bourbon,cracker,chicken,baguette,hering
384,"corned_b, peppers, bourbon, cracker, chicken, soda, olives",,,,,,,corned_b,peppers,bourbon,cracker,chicken,soda,olives
385,"soda, olives, bourbon, cracker, heineken, peppers, steak",,,,,,,soda,olives,bourbon,cracker,heineken,peppers,steak
386,"corned_b, peppers, bourbon, cracker, chicken, heineken, turkey",,,,,,,corned_b,peppers,bourbon,cracker,chicken,heineken,turkey
387,"olives, bourbon, coke, turkey, ice_crea, steak, chicken",,,,,,,olives,bourbon,coke,turkey,ice_crea,steak,chicken
388,"baguette, soda, hering, cracker, heineken, steak, olives",,,,,,,baguette,soda,hering,cracker,heineken,steak,olives
389,"baguette, soda, hering, cracker, heineken, peppers, corned_b",,,,,,,baguette,soda,hering,cracker,heineken,peppers,corned_b
390,"olives, bourbon, coke, turkey, ice_crea, hering, heineken",,,,,,,olives,bourbon,coke,turkey,ice_crea,hering,heineken
391,"hering, corned_b, olives, ham, turkey, bordeaux, ice_crea",,,,,,,hering,corned_b,olives,ham,turkey,bordeaux,ice_crea
392,"avocado, cracker, artichok, heineken, ham, chicken, corned_b",,,,,,,avocado,cracker,artichok,heineken,ham,chicken,corned_b
393,"soda, olives, bourbon, cracker, heineken, artichok, coke",,,,,,,soda,olives,bourbon,cracker,heineken,artichok,coke
394,"baguette, soda, hering, cracker, heineken, artichok, apples",,,,,,,baguette,soda,hering,cracker,heineken,artichok,apples
395,"baguette, soda, hering, cracker, heineken, peppers, sardines",,,,,,,baguette,soda,hering,cracker,heineken,peppers,sardines
396,"olives, bourbon, coke, turkey, ice_crea, apples, baguette",,,,,,,olives,bourbon,coke,turkey,ice_crea,apples,baguette
397,"hering, corned_b, apples, olives, steak, avocado, peppers",,,,,,,hering,corned_b,apples,olives,steak,avocado,peppers
398,"baguette, sardines, apples, peppers, avocado, steak, turkey",,,,,,,baguette,sardines,apples,peppers,avocado,steak,turkey
399,"olives, bourbon, coke, turkey, ice_crea, cracker, baguette",,,,,,,olives,bourbon,coke,turkey,ice_crea,cracker,baguette
400,"soda, olives, bourbon, cracker, heineken, steak, sardines",,,,,,,soda,olives,bourbon,cracker,heineken,steak,sardines
401,"sardines, heineken, chicken, coke, ice_crea, bourbon, olives",,,,,,,sardines,heineken,chicken,coke,ice_crea,bourbon,olives
402,"olives, bourbon, coke, turkey, ice_crea, bordeaux, apples",,,,,,,olives,bourbon,coke,turkey,ice_crea,bordeaux,apples
403,"baguette, soda, hering, cracker, heineken, apples, olives",,,,,,,baguette,soda,hering,cracker,heineken,apples,olives
404,"baguette, hering, avocado, artichok, heineken, steak, sardines",,,,,,,baguette,hering,avocado,artichok,heineken,steak,sardines
405,"olives, bourbon, coke, turkey, ice_crea, sardines, ham",,,,,,,olives,bourbon,coke,turkey,ice_crea,sardines,ham
406,"avocado, cracker, artichok, heineken, ham, bordeaux, chicken",,,,,,,avocado,cracker,artichok,heineken,ham,bordeaux,chicken
407,"baguette, hering, avocado, artichok, heineken, olives, corned_b",,,,,,,baguette,hering,avocado,artichok,heineken,olives,corned_b
408,"baguette, soda, hering, cracker, heineken, sardines, artichok",,,,,,,baguette,soda,hering,cracker,heineken,sardines,artichok
409,"baguette, hering, avocado, artichok, heineken, coke, ice_crea",,,,,,,baguette,hering,avocado,artichok,heineken,coke,ice_crea
410,"baguette, soda, hering, cracker, heineken, bourbon, sardines",,,,,,,baguette,soda,hering,cracker,heineken,bourbon,sardines
411,"hering, corned_b, olives, ham, turkey, ice_crea, steak",,,,,,,hering,corned_b,olives,ham,turkey,ice_crea,steak
412,"hering, corned_b, olives, ham, turkey, steak, avocado",,,,,,,hering,corned_b,olives,ham,turkey,steak,avocado
413,"avocado, cracker, artichok, heineken, ham, bordeaux, corned_b",,,,,,,avocado,cracker,artichok,heineken,ham,bordeaux,corned_b
414,"olives, bourbon, coke, turkey, ice_crea, peppers, avocado",,,,,,,olives,bourbon,coke,turkey,ice_crea,peppers,avocado
415,"corned_b, peppers, bourbon, cracker, chicken, heineken, artichok",,,,,,,corned_b,peppers,bourbon,cracker,chicken,heineken,artichok
416,"soda, olives, bourbon, cracker, heineken, ice_crea, apples",,,,,,,soda,olives,bourbon,cracker,heineken,ice_crea,apples
417,"avocado, cracker, artichok, heineken, ham, ice_crea, corned_b",,,,,,,avocado,cracker,artichok,heineken,ham,ice_crea,corned_b
418,"corned_b, peppers, bourbon, cracker, chicken, apples, olives",,,,,,,corned_b,peppers,bourbon,cracker,chicken,apples,olives
419,"avocado, cracker, artichok, heineken, ham, soda, steak",,,,,,,avocado,cracker,artichok,heineken,ham,soda,steak
420,"hering, corned_b, apples, olives, steak, soda, coke",,,,,,,hering,corned_b,apples,olives,steak,soda,coke
421,"baguette, sardines, apples, peppers, avocado, steak, turkey",,,,,,,baguette,sardines,apples,peppers,avocado,steak,turkey
422,"baguette, hering, avocado, artichok, heineken, turkey, bourbon",,,,,,,baguette,hering,avocado,artichok,heineken,turkey,bourbon
423,"soda, olives, bourbon, cracker, heineken, bordeaux, avocado",,,,,,,soda,olives,bourbon,cracker,heineken,bordeaux,avocado
424,"corned_b, peppers, bourbon, cracker, chicken, heineken, turkey",,,,,,,corned_b,peppers,bourbon,cracker,chicken,heineken,turkey
425,"soda, olives, bourbon, cracker, heineken, peppers, chicken",,,,,,,soda,olives,bourbon,cracker,heineken,peppers,chicken
426,"baguette, sardines, apples, peppers, avocado, heineken, ham",,,,,,,baguette,sardines,apples,peppers,avocado,heineken,ham
427,"corned_b, peppers, bourbon, cracker, chicken, ham, heineken",,,,,,,corned_b,peppers,bourbon,cracker,chicken,ham,heineken
428,"sardines, heineken, chicken, coke, ice_crea, bordeaux, corned_b",,,,,,,sardines,heineken,chicken,coke,ice_crea,bordeaux,corned_b
429,"avocado, cracker, artichok, heineken, ham, coke, soda",,,,,,,avocado,cracker,artichok,heineken,ham,coke,soda
430,"baguette, soda, hering, cracker, heineken, avocado, ham",,,,,,,baguette,soda,hering,cracker,heineken,avocado,ham
431,"baguette, hering, avocado, artichok, heineken, coke, turkey",,,,,,,baguette,hering,avocado,artichok,heineken,coke,turkey
432,"hering, corned_b, apples, olives, steak, baguette, bourbon",,,,,,,hering,corned_b,apples,olives,steak,baguette,bourbon
433,"baguette, sardines, apples, peppers, avocado, bordeaux, artichok",,,,,,,baguette,sardines,apples,peppers,avocado,bordeaux,artichok
434,"soda, olives, bourbon, cracker, heineken, chicken, apples",,,,,,,soda,olives,bourbon,cracker,heineken,chicken,apples
435,"hering, corned_b, olives, ham, turkey, ice_crea, soda",,,,,,,hering,corned_b,olives,ham,turkey,ice_crea,soda
436,"sardines, heineken, chicken, coke, ice_crea, turkey, bourbon",,,,,,,sardines,heineken,chicken,coke,ice_crea,turkey,bourbon
437,"avocado, cracker, artichok, heineken, ham, bordeaux, peppers",,,,,,,avocado,cracker,artichok,heineken,ham,bordeaux,peppers
